test_type,test_name,extra_param,n,d,h_label,mean_result
C2ST,LinearMMD_test,LL,200,10,Alternative,0.06
C2ST,LinearMMD_test,QL,200,10,Alternative,0.024
C2ST,LinearMMD_test,KLR,200,10,Alternative,0.1
C2ST,CLF_test,LL,200,10,Alternative,0.184
C2ST,CLF_test,QL,200,10,Alternative,0.114
C2ST,CLF_test,KLR,200,10,Alternative,0.216
C2ST,CP_test,LL,200,10,Alternative,0.562
C2ST,CP_test,QL,200,10,Alternative,0.008
C2ST,CP_test,KLR,200,10,Alternative,0.724
C2ST,debiased_test,LL,200,10,Alternative,0.32
C2ST,debiased_test,QL,200,10,Alternative,0.956
C2ST,debiased_test,KLR,200,10,Alternative,0.894
C2ST,CVLinearMMD_test,LL,200,10,Alternative,0.08
C2ST,CVLinearMMD_test,QL,200,10,Alternative,0.128
C2ST,CVLinearMMD_test,KLR,200,10,Alternative,0.102
C2ST,CVCLF_test,LL,200,10,Alternative,0.326
C2ST,CVCLF_test,QL,200,10,Alternative,0.484
C2ST,CVCLF_test,KLR,200,10,Alternative,0.332
CIT,RCIT_test,TRUE,200,10,Alternative,0.7
CIT,RCIT_test,FALSE,200,10,Alternative,0.78
CIT,RCoT_test,TRUE,200,10,Alternative,0.732
CIT,RCoT_test,FALSE,200,10,Alternative,0.812
CIT,PCM_test,TRUE,200,10,Alternative,0.196
CIT,PCM_test,FALSE,200,10,Alternative,0.41
CIT,GCM_test,TRUE,200,10,Alternative,0.346
CIT,GCM_test,FALSE,200,10,Alternative,0.378
CIT,WGSC_test,TRUE,200,10,Alternative,0.022
CIT,WGSC_test,FALSE,200,10,Alternative,0.018
C2ST,LinearMMD_test,LL,200,10,Null,0.05
C2ST,LinearMMD_test,QL,200,10,Null,0.026
C2ST,LinearMMD_test,KLR,200,10,Null,0.076
C2ST,CLF_test,LL,200,10,Null,0.066
C2ST,CLF_test,QL,200,10,Null,0.098
C2ST,CLF_test,KLR,200,10,Null,0.048
C2ST,CP_test,LL,200,10,Null,0.06
C2ST,CP_test,QL,200,10,Null,0.006
C2ST,CP_test,KLR,200,10,Null,0.052
C2ST,debiased_test,LL,200,10,Null,0.052
C2ST,debiased_test,QL,200,10,Null,0.952
C2ST,debiased_test,KLR,200,10,Null,0.924
C2ST,CVLinearMMD_test,LL,200,10,Null,0.044
C2ST,CVLinearMMD_test,QL,200,10,Null,0.116
C2ST,CVLinearMMD_test,KLR,200,10,Null,0.068
C2ST,CVCLF_test,LL,200,10,Null,0.106
C2ST,CVCLF_test,QL,200,10,Null,0.492
C2ST,CVCLF_test,KLR,200,10,Null,0.034
CIT,RCIT_test,TRUE,200,10,Null,0.062
CIT,RCIT_test,FALSE,200,10,Null,0.198
CIT,RCoT_test,TRUE,200,10,Null,0.066
CIT,RCoT_test,FALSE,200,10,Null,0.122
CIT,PCM_test,TRUE,200,10,Null,0.05
CIT,PCM_test,FALSE,200,10,Null,0.072
CIT,GCM_test,TRUE,200,10,Null,0.054
CIT,GCM_test,FALSE,200,10,Null,0.07
CIT,WGSC_test,TRUE,200,10,Null,0.02
CIT,WGSC_test,FALSE,200,10,Null,0.014
C2ST,LinearMMD_test,LL,500,10,Alternative,0.076
C2ST,LinearMMD_test,QL,500,10,Alternative,0.056
C2ST,LinearMMD_test,KLR,500,10,Alternative,0.094
C2ST,CLF_test,LL,500,10,Alternative,0.424
C2ST,CLF_test,QL,500,10,Alternative,0.398
C2ST,CLF_test,KLR,500,10,Alternative,0.422
C2ST,CP_test,LL,500,10,Alternative,0.936
C2ST,CP_test,QL,500,10,Alternative,0.222
C2ST,CP_test,KLR,500,10,Alternative,0.98
C2ST,debiased_test,LL,500,10,Alternative,0.854
C2ST,debiased_test,QL,500,10,Alternative,1
C2ST,debiased_test,KLR,500,10,Alternative,1
C2ST,CVLinearMMD_test,LL,500,10,Alternative,0.114
C2ST,CVLinearMMD_test,QL,500,10,Alternative,0.068
C2ST,CVLinearMMD_test,KLR,500,10,Alternative,0.128
C2ST,CVCLF_test,LL,500,10,Alternative,0.626
C2ST,CVCLF_test,QL,500,10,Alternative,0.708
C2ST,CVCLF_test,KLR,500,10,Alternative,0.596
CIT,RCIT_test,TRUE,500,10,Alternative,0.988
CIT,RCIT_test,FALSE,500,10,Alternative,0.96
CIT,RCoT_test,TRUE,500,10,Alternative,0.992
CIT,RCoT_test,FALSE,500,10,Alternative,0.996
CIT,PCM_test,TRUE,500,10,Alternative,0.32
CIT,PCM_test,FALSE,500,10,Alternative,0.766
CIT,GCM_test,TRUE,500,10,Alternative,0.61
CIT,GCM_test,FALSE,500,10,Alternative,0.656
CIT,WGSC_test,TRUE,500,10,Alternative,0.018
CIT,WGSC_test,FALSE,500,10,Alternative,0.006
C2ST,LinearMMD_test,LL,500,10,Null,0.04
C2ST,LinearMMD_test,QL,500,10,Null,0.034
C2ST,LinearMMD_test,KLR,500,10,Null,0.052
C2ST,CLF_test,LL,500,10,Null,0.074
C2ST,CLF_test,QL,500,10,Null,0.228
C2ST,CLF_test,KLR,500,10,Null,0.056
C2ST,CP_test,LL,500,10,Null,0.046
C2ST,CP_test,QL,500,10,Null,0.03
C2ST,CP_test,KLR,500,10,Null,0.038
C2ST,debiased_test,LL,500,10,Null,0.048
C2ST,debiased_test,QL,500,10,Null,1
C2ST,debiased_test,KLR,500,10,Null,1
C2ST,CVLinearMMD_test,LL,500,10,Null,0.048
C2ST,CVLinearMMD_test,QL,500,10,Null,0.06
C2ST,CVLinearMMD_test,KLR,500,10,Null,0.042
C2ST,CVCLF_test,LL,500,10,Null,0.072
C2ST,CVCLF_test,QL,500,10,Null,0.498
C2ST,CVCLF_test,KLR,500,10,Null,0.052
CIT,RCIT_test,TRUE,500,10,Null,0.048
CIT,RCIT_test,FALSE,500,10,Null,0.068
CIT,RCoT_test,TRUE,500,10,Null,0.05
CIT,RCoT_test,FALSE,500,10,Null,0.056
CIT,PCM_test,TRUE,500,10,Null,0.058
CIT,PCM_test,FALSE,500,10,Null,0.04
CIT,GCM_test,TRUE,500,10,Null,0.042
CIT,GCM_test,FALSE,500,10,Null,0.042
CIT,WGSC_test,TRUE,500,10,Null,0.022
CIT,WGSC_test,FALSE,500,10,Null,0.004
C2ST,LinearMMD_test,LL,1000,10,Alternative,0.094
C2ST,LinearMMD_test,QL,1000,10,Alternative,0.092
C2ST,LinearMMD_test,KLR,1000,10,Alternative,0.102
C2ST,CLF_test,LL,1000,10,Alternative,0.656
C2ST,CLF_test,QL,1000,10,Alternative,0.592
C2ST,CLF_test,KLR,1000,10,Alternative,0.598
C2ST,CP_test,LL,1000,10,Alternative,0.986
C2ST,CP_test,QL,1000,10,Alternative,0.762
C2ST,CP_test,KLR,1000,10,Alternative,1
C2ST,debiased_test,LL,1000,10,Alternative,0.986
C2ST,debiased_test,QL,1000,10,Alternative,1
C2ST,debiased_test,KLR,1000,10,Alternative,1
C2ST,CVLinearMMD_test,LL,1000,10,Alternative,0.12
C2ST,CVLinearMMD_test,QL,1000,10,Alternative,0.13
C2ST,CVLinearMMD_test,KLR,1000,10,Alternative,0.144
C2ST,CVCLF_test,LL,1000,10,Alternative,0.866
C2ST,CVCLF_test,QL,1000,10,Alternative,0.838
C2ST,CVCLF_test,KLR,1000,10,Alternative,0.87
CIT,RCIT_test,TRUE,1000,10,Alternative,1
CIT,RCIT_test,FALSE,1000,10,Alternative,0.99
CIT,RCoT_test,TRUE,1000,10,Alternative,1
CIT,RCoT_test,FALSE,1000,10,Alternative,1
CIT,PCM_test,TRUE,1000,10,Alternative,0.456
CIT,PCM_test,FALSE,1000,10,Alternative,0.95
CIT,GCM_test,TRUE,1000,10,Alternative,0.81
CIT,GCM_test,FALSE,1000,10,Alternative,0.858
CIT,WGSC_test,TRUE,1000,10,Alternative,0.008
